FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-13;43,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-14;44
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-15;44,07
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-16;44,31
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-17;44,44
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-20;44,72
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-21;44,56
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-22;44,24
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-23;44,37
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-24;44,23
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-27;44,47
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-28;44,3
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-29;43,66
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-30;43,71
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-08-31;43,44
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-03;43,49
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-04;43,27
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-05;43,02
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-06;43,71
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-07;43,96
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-10;43,48
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-11;43,31
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-12;43,44
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-13;43,45
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-14;43,79
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-17;43,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-18;43,26
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-19;43,66
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-20;43,54
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-21;43,12
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-24;43,13
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-25;42,79
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-09-26;42,74
